ID;BASSIN;X;Y;TEMP;MTC;MTW;PREC;OS;BV;DIST;ALT;LARG;PROF
ID#1;NORD;731891;2587510;9.2706;0.56;17.636699;958.833312;AGRI;120;21;138;6.3;0.4
ID#2;NORD;731710;2570680;9.0253;0.3267;17.4267;1015.006713;AGRI;90;15;178;4.4;0.4
ID#3;MANCHE;569391;2604030;9.926099;2.4033;17.296699;732.536682;AGRI;61;12;18;6;0.44
ID#4;NORD;582360;2648917;9.627799;2.14;16.9633;731.786621;AGRI;125;20;10;8.5;0.4
ID#5;MANCHE;603717;2533168;10.104399;2.029999;18;696.256713;AGRI;350;24;41;7;0.4
ID#6;MANCHE;587924;2524196;10.002799;2.003299;17.816699;711.5;AGRI;50;9;66;7;0.3
ID#7;MANCHE;576896;2527311;9.8892;2;17.636699;726.799987;AGRI;45;12;90;6.7;0.3
ID#8;NORD;764640;2557000;8.6794;-0.0267;17.1233;1112.693359;FOR;20;3;233;3.5;0.17
ID#9;NORD;792051;2532536;8.799699;0.27;17.459999;1184.359985;FOR;12;5;310;3.5;0.16
ID#10;NORD;815480;2516853;9.273599;0.3633;17.9333;1142.523437;AGRI;80;13;185;7.3;0.42
ID#11;NORD;893153;2390216;9.307499;-0.289999;18.313299;837.280029;AGRI;1776;115;251;35;0.88
ID#12;NORD;914750;2400195;9.4489;-0.3533;18.469999;776.863281;AGRI;1050;95;238;19;0.6
ID#13;NORD;921757;2396268;9.0506;-0.816699;18.136699;783.273315;AGRI;990;80;252;22.5;0.63
ID#14;NORD;846727;2496855;9.0747;-0.289999;18.1;1027.096679;FOR;46;8;243;5.2;0.5
ID#15;NORD;830901;2503880;9.325799;0.09;18.2467;1058.223266;FOR;21;6;213;4.57;0.22
ID#16;NORD;835242;2435007;9.314999;0.0367;18.2733;953.006713;AGRI;2590;173;222;20;0.94
ID#17;NORD;812169;2476660;9.432499;0.403299;18.2367;1041.699951;FOR;65;8;195;6.3;0.33
ID#18;NORD;848518;2397492;9.281399;-0.08;18.239999;905.520019;AGRI;1720;100;258;23;0.88
ID#19;NORD;825039;2456919;9.398099;0.2433;18.2667;996.886718;AGRI;3150;215;202;25;1.06
ID#20;NORD;832088;2444737;9.314999;0.0367;18.2733;953.006713;AGRI;2840;195;212;20;0.66
ID#21;NORD;953478;2405166;8.2697;-1.63;17.343299;796.933288;FOR;9;4;289;5.38;0.26
ID#22;NORD;953261;2411211;8.2697;-1.63;17.343299;796.933288;FOR;18;10;330;4.21;0.17
ID#23;NORD;958296;2416811;7.887499;-2.053299;17.013299;817.933288;FOR;40;13;430;2.99;0.15
ID#24;NORD;1013553;2444913;10.1103;-0.27;19.6133;692.526672;FOR;14;9;129;1.8;0.19
ID#25;NORD;1008097;2445197;10.1103;-0.27;19.6133;692.526672;FOR;155;62;135;5.92;0.37
ID#26;NORD;1018069;2438553;10.4425;-0.03;20.073299;717.030029;AGRI;1580;83;117;30;0.9
ID#27;NORD;989927;2386374;10.0928;-0.2133;19.526699;647.299987;AGRI;8;6;158;15;0.89
ID#28;NORD;972503;2396172;9.008099;-1.113299;18.25;713.23999;FOR;11;5;385;3;0.17
ID#29;NORD;961428;2402110;7.887499;-2.053299;17.013299;817.933288;FOR;15;5;335;3.85;0.18
ID#30;NORD;940912;2321159;7.9464;-1.86;17.0433;923.020019;FOR;10;5;595;4.8;0.12
ID#31;NORD;951956;2349976;6.6378;-3.0167;15.6;975.436706;FOR;10;4;525;2.85;0.25
ID#32;NORD;980199;2363995;10.0261;-0.2167;19.366699;618.523315;AGRI;4;4;176;13;0.86
ID#33;NORD;949784;2356271;6.6378;-3.0167;15.6;975.436706;FOR;15;8;709;4.11;0.21
ID#34;NORD;930721;2345630;7.4278;-2.233299;16.379999;940.210021;FOR;8;6;490;2.35;0.16
ID#35;NORD;941517;2335746;6.601099;-2.9867;15.556699;1011.566711;FOR;1;1;945;2.35;0.12
ID#36;NORD;892897;2387613;9.307499;-0.289999;18.313299;837.280029;FOR;10;4;263;2.57;0.25
ID#37;NORD;951490;2401108;8.2697;-1.63;17.343299;796.933288;FOR;12;6;426;3.76;0.2
ID#38;SEINE;675250;2448470;10.0339;1.306699;18.4633;636.423278;AGRI;20;6;70;2.7;0.25
ID#39;SEINE;686783;2543365;9.6864;1.0267;18.003299;743.436706;AGRI;1180;105;83;20;0.5
ID#40;SEINE;707298;2547009;9.503299;0.7967;17.85;793.23999;AGRI;750;60;119;19;0.66
ID#41;SEINE;731040;2548806;9.243599;0.569999;17.643299;922.253295;FOR;76;25;196;6.8;0.2
ID#42;SEINE;731906;2549364;8.9617;0.259999;17.386699;1026.093261;FOR;6;4;259;2.8;0.12
ID#43;SEINE;783620;2484895;9.5317;0.8133;18.1933;1033.453247;AGRI;1025;107;115;12;0.55
ID#44;SEINE;716456;2398506;10.7144;1.696699;19.409999;614.916687;AGRI;4028;204;76;30;1.67
ID#45;SEINE;680250;2386550;10.9103;1.95;19.53;625.130004;AGRI;9233;254;61;50;1.28
ID#46;SEINE;706703;2356686;10.527799;1.46;19.319999;670.299987;AGRI;41;5;145;2.85;0.17
ID#47;SEINE;781760;2358393;9.948599;0.746699;18.9733;805.166687;AGRI;1290;81;175;30;0.55
ID#48;MANCHE;367375;2425375;9.8758;2.6867;17.0333;863.966674;AGRI;7;4.5;245;2.31;0.2
ID#49;MANCHE;437590;2441100;10.213299;2.783299;17.556699;753.086669;AGRI;2479;9.3;86;2.76;0.11
ID#50;MANCHE;362160;2436100;10.367199;3.38;17.276699;822.816711;AGRI;3520;14.8;90;4.32;0.18
ID#51;MANCHE;448170;2444000;9.9244;2.41;17.329999;774.630004;AGRI;19600;39.5;93;8.03;0.39
ID#52;MANCHE;395900;2455430;10.5192;3.3833;17.51;736.853271;FOR;231381;138;40;32.67;1
ID#53;MANCHE;391390;2447860;10.0619;2.9467;17.0867;815.14331;AGRI;1806;8;60;2.76;0.15
ID#54;SEINE;738830;2271823;9.837499;0.583299;19.036699;810.923278;FOR;372.8;56;267;6;0.11
ID#55;SEINE;773838;2306825;9.7903;0.4533;18.956699;829.710021;AGRI;112.1;26.8;275;5;0.41
ID#56;SEINE;789438;2306310;9.370599;-0.0433;18.573299;876.386718;FOR;35.8;1.6;326;4.5;0.15
ID#57;SEINE;756014;2289029;9.9439;0.6067;19.116699;824.543273;AGRI;623.2;53.2;221;12;0.28
ID#58;SEINE;765005;2325063;10.143099;0.85;19.2667;798.683288;AGRI;587.3;73.9;201;20;0.49
ID#59;SEINE;769920;2336153;9.9294;0.85;18.9367;800.21997;AGRI;572.7;68.5;198;10;0.41
ID#60;SEINE;765993;2284020;9.5978;0.259999;18.833299;839.463378;AGRI;138.8;30.5;258;9.5;0.3
ID#61;MANCHE;462183;2435454;9.784999;2.2067;17.243299;778.876708;AGRI;73;14;185;7.4;0.24
ID#62;MANCHE;469370;2447800;10.060799;2.5367;17.4867;743.950012;FOR;260;38;123;9;0.35
ID#63;SEINE;502396;2415275;10.1372;2.106699;17.989999;677.496704;AGRI;385;40;143;12;0.31
ID#64;MANCHE;464077;2486878;10.573599;3.323299;17.7733;709.820007;AGRI;65;12;7;4.5;0.4
ID#65;SEINE;516360;2406724;10.028599;1.809999;18.046699;657.900024;AGRI;224;24;137;8.53;0.26
ID#66;SEINE;641060;2326365;10.8961;1.97;19.526699;663.843322;AGRI;900;58;105;12.07;0.53
ID#67;SEINE;641257;2340566;10.970299;2.059999;19.62;651.96997;AGRI;175;17;102;8.2;0.56
ID#68;MANCHE;353125;2417800;10.244199;3.2033;17.2133;854.443298;AGRI;86;16;75;6.53;0.6
ID#69;MANCHE;346920;2420260;10.244199;3.2033;17.2133;854.443298;AGRI;2534;10.8;50;3.62;0.19
ID#70;MANCHE;298720;2523780;10.580599;4.32;16.466699;957.46997;FOR;322;2.7;80;1.44;0.16
ID#71;SEINE;716911;2461746;9.810799;1.0367;18.299999;644.309997;AGRI;16;6;161;1.9;0.13
ID#72;SEINE;805560;2312163;9.2144;-0.25;18.43;903.080017;FOR;38;6;340;5.1;0.26
ID#73;SEINE;818139;2371460;9.534399;0.18;18.573299;889;FOR;25;6;234;4.81;0.21
ID#74;SEINE;795526;2379880;9.9869;0.819999;18.959999;821.289978;FOR;70;15;209;5.6;0.27
ID#75;SEINE;814111;2371966;9.534399;0.18;18.573299;889;AGRI;608;53;222;14;0.54
ID#76;SEINE;821878;2362031;9.534399;0.18;18.573299;889;FOR;233;34;263;5.6;0.29
ID#77;SEINE;805499;2411951;9.785799;0.7167;18.67;882.760009;AGRI;375;47;184;8;0.59
ID#78;SEINE;811601;2442953;9.3619;0.3;18.253299;962.303283;AGRI;263;39;230;8.5;0.4
ID#79;SEINE;724500;2244950;9.3175;0.306699;18.3533;817.213317;AGRI;16;7;470;3;0.2
ID#80;SEINE;722988;2238878;9.4581;0.403299;18.5767;804.626708;FOR;48.1;10.9;363;6;0.23
ID#81;SEINE;574310;2505665;9.8239;1.889999;17.626699;736.72998;AGRI;150;15;97;10.1;0.35
ID#82;SEINE;601493;2490850;10.249199;2.023299;18.26;687.113281;FOR;200;21;68;5.7;0.35
ID#83;SEINE;558148;2509542;9.721099;1.8767;17.469999;753.236572;AGRI;95;12;137;4.8;0.6
ID#84;MANCHE;444200;2436150;9.9244;2.41;17.329999;774.630004;AGRI;6876;17.4;96;3.76;0.33
ID#85;MANCHE;382840;2426960;10.0003;2.779999;17.209999;831.923278;AGRI;14310;20.5;100;5.67;0.35
ID#86;MANCHE;537431;2549019;9.884699;2.3833;17.2933;769.340026;AGRI;175;20;56;7;0.56
ID#87;MANCHE;543559;2520170;9.5394;1.889999;17.0967;787.080017;AGRI;50;11;113;4.2;0.4
ID#88;MANCHE;523850;2543860;10.0711;2.646699;17.366699;759.786682;AGRI;260;30;29;7.5;0.6
ID#89;SEINE;664325;2299587;10.588299;1.623299;19.36;695;AGRI;68.1;14.8;204;6.5;0.23
ID#90;SEINE;727505;2264685;9.7861;0.639999;18.823299;804.083312;AGRI;75.5;23.3;358;5.5;0.24
ID#91;SEINE;707140;2277010;10.472499;1.429999;19.456699;729.963317;AGRI;593.7;76.9;144;21;0.47
ID#92;SEINE;666898;2322865;10.7889;1.826699;19.4867;673.886718;AGRI;90.5;19.3;141;5;0.34
ID#93;SEINE;581510;2460820;10.636899;2.326699;18.743299;653.890014;AGRI;30;3;64;2.5;0.19
ID#94;LOIRE;708593;2114732;8.416899;-0.34;17.409999;829.213317;AGRI;60.622883;14;365;5.6;0.2
ID#95;LOIRE;719685;2150365;10.6436;1.519999;19.84;725.549987;AGRI;60.784603;14.8;268;2.7;0.33
ID#96;RHONE;744770;1960427;8.26;-0.19;17.45;865.376708;FOR;16;6.4;664;5.8;0.3
ID#97;LOIRE;725350;1965220;6.788599;-1.47;15.843299;914.780029;FOR;12;6.7;1028;3.8;0.25
ID#98;LOIRE;653308;2015929;7.6206;-0.626699;16.459999;899.770019;AGRI;314.061583;29;750;12.8;0.39
