ID;ABH;ABL;ANG;BAF;BAM;BBG;BLN;BOU;BRB;BRE;BRO;CAS;CCO;CHA;CHE;EPI;EPT;GAM;GAR;GOU;GRE;HOT;LOF;LOR;LOT;OBR;PCH;PER;PES;PSR;ROT;SAN;SAT;SDF;SIL;SPI;TAN;TOX;TRF;VAI;VAN
ID#1;0;0;0;0;0;0;0;1;0;0;5;0;0;171;66;9;0;0;5;69;0;0;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;21
ID#2;0;12;0;0;0;0;0;1;0;5;0;0;0;168;27;1;0;0;86;84;7;0;124;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;53
ID#3;0;0;17;0;0;0;0;0;0;0;0;0;0;277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;0
ID#4;0;0;1085;0;0;0;0;0;0;0;0;0;0;336;0;13;0;0;0;4;0;0;361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;307;0
ID#5;0;0;43;0;0;0;0;0;0;0;0;0;0;31;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;6
ID#6;0;0;1;0;0;0;0;0;0;0;0;0;0;128;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0
ID#7;0;0;1;0;0;0;0;0;0;0;0;0;0;191;0;20;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;105;0;0
ID#8;0;0;1;0;0;0;0;0;0;0;0;0;0;264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0
ID#9;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0
ID#10;0;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0;0;0;3;1;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0
ID#11;0;49;0;80;0;0;0;21;1;0;4;0;0;3;121;0;0;0;100;158;0;5;4;0;1;0;0;2;0;0;0;0;0;0;0;13;0;0;0;0;21
ID#12;2;59;0;28;0;0;0;75;1;0;9;0;0;2;15;0;0;0;86;54;0;5;2;0;3;0;0;29;5;0;13;0;0;0;0;131;6;0;0;0;10
ID#13;1;0;0;27;0;0;0;0;3;0;17;0;0;0;48;0;0;0;24;36;1;6;11;0;4;0;0;4;3;0;1;0;0;0;0;97;4;0;0;0;38
ID#14;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0
ID#15;0;0;1;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;156;0;0
ID#16;0;89;0;39;0;0;0;155;1;2;2;0;12;9;144;0;13;0;98;233;1;3;76;5;0;0;0;11;1;0;0;0;0;0;0;0;14;0;0;641;14
ID#17;0;0;0;0;0;0;0;0;0;0;0;0;0;160;4;0;1;0;2;0;0;0;3;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;242;0;13
ID#18;0;115;0;71;0;0;0;9;4;6;1;0;1;7;131;0;0;0;238;438;7;26;59;111;0;0;0;19;0;0;1;0;0;0;0;0;13;0;0;374;17
ID#19;0;56;0;56;0;0;0;81;1;24;1;0;1;5;193;0;52;0;161;268;0;15;53;4;4;0;0;6;0;0;3;0;0;0;0;0;9;0;0;908;31
ID#20;0;41;0;54;0;0;0;192;0;0;3;3;0;5;102;0;29;0;80;247;0;10;55;4;1;0;0;14;0;0;6;0;0;0;0;0;26;0;0;1112;52
ID#21;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0
ID#22;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0
ID#23;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0
ID#24;0;0;0;0;0;0;0;0;0;0;0;0;0;2;49;0;0;0;2;42;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;231;11
ID#25;0;0;1;44;0;0;0;2;0;0;0;0;0;0;80;0;0;0;11;89;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;20;248;39
ID#26;0;31;16;8;0;0;0;70;0;5;1;0;0;0;88;0;0;0;53;26;0;0;2;8;0;0;0;85;17;0;2;1;0;0;15;0;22;0;0;0;16
ID#27;0;0;50;0;0;0;0;0;0;0;12;0;0;11;0;1;0;0;35;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
ID#28;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0
ID#29;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;0
ID#30;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0
ID#31;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0
ID#32;0;0;1;0;0;0;0;0;0;0;0;0;0;18;4;34;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;1
ID#33;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0
ID#34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0
ID#35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0
ID#36;0;0;0;0;0;0;0;0;0;0;1;0;0;23;45;0;0;0;1;0;0;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;52
ID#37;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167;0;0
ID#38;0;0;0;0;0;0;0;0;0;0;0;0;0;95;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0
ID#39;0;0;1;54;0;0;0;0;0;0;1;0;0;7;118;0;0;0;10;13;0;10;31;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;41;282
ID#40;0;3;0;12;0;0;0;0;0;0;0;0;0;6;9;0;0;0;54;25;0;6;37;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;18;59
ID#41;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1;0;0;0;0;2;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;43;0
ID#42;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0
ID#43;0;2;2;89;0;0;0;97;0;0;2;70;0;3;178;2;0;0;11;276;0;176;54;0;0;0;0;2;0;0;0;0;0;0;0;9;3;0;0;995;23
ID#44;0;12;5;7;0;0;0;192;3;0;2;0;0;0;61;0;0;0;13;46;0;14;14;2;0;0;0;4;1;4;3;0;0;0;0;28;1;0;0;18;11
ID#45;0;69;10;60;0;0;0;12;11;15;2;0;0;0;102;0;0;0;152;54;2;69;7;5;0;0;0;27;0;0;4;0;0;0;17;4;19;0;0;0;6
ID#46;0;0;0;0;0;0;0;0;0;0;0;0;0;551;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0
ID#47;0;1;0;81;0;0;0;0;0;0;2;0;0;50;134;0;0;0;25;27;0;0;52;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;13;206;20
ID#48;0;0;0;0;0;0;0;0;0;0;0;0;0;173;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;277;0
ID#49;0;0;1;0;0;0;0;0;0;0;0;0;0;201;0;0;0;0;0;0;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;222;0
ID#50;0;0;8;0;0;0;0;0;0;0;0;0;0;78;35;0;0;0;0;42;0;0;55;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;25;122;17
ID#51;0;0;12;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;47;0
ID#52;0;9;104;0;0;0;0;0;0;1;1;0;0;3;29;0;0;0;159;33;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;30
ID#53;0;0;17;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;5;0
ID#54;0;87;0;1064;0;0;0;0;0;0;2;0;0;141;1105;0;0;0;112;364;0;0;2280;0;0;0;0;0;0;0;0;0;0;0;0;104;1;0;1;3905;86
ID#55;0;0;0;0;0;0;0;0;0;0;1;0;0;13;58;2;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;912;0
ID#56;0;0;0;0;0;0;0;0;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;108;0
ID#57;0;43;0;86;0;0;10;0;0;0;0;0;0;12;40;0;0;0;0;87;0;6;361;0;0;0;0;0;0;0;1;0;0;0;0;42;0;0;11;3315;14
ID#58;0;0;0;0;0;0;0;0;0;0;0;0;0;206;0;0;49;0;0;0;0;0;15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;158;68;0
ID#59;0;0;0;3;0;0;35;0;0;0;0;0;0;30;5;0;0;0;0;10;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;629;2
ID#60;0;0;0;0;0;0;0;0;0;0;0;0;0;152;27;0;0;0;0;2;0;0;248;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;10;172;3
ID#61;0;0;0;0;0;0;0;0;0;0;0;0;0;546;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;267;0
ID#62;0;0;3;0;0;0;0;0;0;0;0;0;0;85;5;2;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;115;167
ID#63;0;0;0;0;0;0;0;0;0;0;5;0;0;94;0;0;5;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;9;0
ID#64;0;0;67;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;57;0;0
ID#65;0;0;0;0;0;0;0;0;0;0;0;0;0;495;0;1;29;0;6;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;179;0
ID#66;0;0;0;2;0;0;0;0;0;0;0;0;0;14;6;0;0;0;4;4;0;4;134;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;135;0
ID#67;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;0;3;0;8;0;0;0;30;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;10;0;0
ID#68;0;0;42;0;0;0;0;0;0;0;0;0;0;120;28;0;0;0;1;36;0;0;34;0;0;0;0;0;0;0;0;0;245;0;0;0;0;0;58;85;0
ID#69;0;0;37;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;37;112;0
